country,polyarchy,clientelism,corruption,womens_emp,gdp_pc,life_exp,education,region
Panama,0.728,0.686,0.53,0.755,10.171,78,8.63,Latin America
Papua New Guinea,0.524,0.852,0.657,0.469,2.714,63.1,NA,Asia
Qatar,0.02,0.841,0.398,NA,58.925,71.2,NA,Middle East
Sierra Leone,0.23,0.585,0.722,0.426,0.987,51.6,3.63,Africa
Spain,0.891,0.077,0.019,0.938,29.316,79.5,9.5,The West
Syria,0.151,0.752,0.887,0.431,3.686,71.6,7.17,Middle East
Tunisia,0.189,0.776,0.844,0.656,8.033,74.3,5.348,Middle East
Türkiye,0.585,0.38,0.554,0.587,11.969,74.7,6.3,Middle East
Ukraine,0.385,0.674,0.812,0.773,5.372,68,10.878,Eastern Europe
United Kingdom,0.852,0.112,0.035,0.878,33.767,78,13.07,The West
Uruguay,0.877,0.081,0.025,0.849,12.903,74.8,8.37,Latin America
Algeria,0.325,0.613,0.661,0.561,8.94,71,6.45,Middle East
Angola,0.158,0.784,0.862,0.469,2.757,52.8,2.39,Africa
Armenia,0.424,0.602,0.792,0.68,4.112,72.4,10.602,Eastern Europe
Azerbaijan,0.249,0.651,0.938,0.622,3.609,66.5,10.629,Eastern Europe
Belarus,0.297,0.121,0.566,0.792,9.406,69,9.86,Eastern Europe
Cameroon,0.307,0.852,0.925,0.662,2.27,54.5,4.66,Africa
Chad,0.283,0.921,0.959,0.446,1.006,52.3,4.21,Africa
China,0.101,0.278,0.655,0.606,4.736,71.3,6.883,Asia
Democratic Republic of the Congo,0.152,0.756,0.93,0.413,0.562,53.9,NA,Africa
Republic of the Congo,0.161,0.856,0.849,0.316,2.855,53,NA,Africa
Djibouti,0.254,0.707,0.706,0.388,2.388,60.4,NA,Africa
Dominican Republic,0.66,0.852,0.787,0.784,7.913,73.7,5.95,Latin America
Eritrea,0.121,0.742,0.412,0.367,24.674,54.8,NA,Africa
Gabon,0.34,0.618,0.861,0.63,10.606,59.6,4.911,Africa
The Gambia,0.258,0.496,0.667,0.502,2.282,61.6,2.699,Africa
Georgia,0.375,0.752,0.885,0.766,4.231,70.7,10.671,Eastern Europe
Guinea-Bissau,0.432,0.816,0.932,0.593,1.448,51.5,NA,Africa
Jamaica,0.682,0.533,0.159,0.876,6.561,74.6,8.68,Latin America
Kazakhstan,0.271,0.671,0.882,0.754,8.144,64.7,10.945,Eastern Europe
Kyrgyzstan,0.288,0.854,0.938,0.609,2.752,67.2,10.169,Eastern Europe
Laos,0.088,0.178,0.725,0.414,2.1,58.4,4.523,Asia
Libya,0.072,0.744,0.841,0.171,14.096,74.9,6.627,Middle East
Madagascar,0.507,0.724,0.804,0.665,1.201,59.5,3.74,Africa
Moldova,0.58,0.579,0.62,0.816,2.791,68.9,9.662,Eastern Europe
Namibia,0.656,0.261,0.226,0.802,6.133,53.9,5.893,Africa
Palestine/West Bank,0.486,0.322,0.436,0.578,NA,70.2,NA,Middle East
Rwanda,0.114,0.288,0.506,0.802,0.983,50.5,2.775,Africa
Somalia,0.177,0.972,0.947,0.122,1.674,51.4,1.342,Africa
Sri Lanka,0.495,0.488,0.42,0.603,5.545,71.5,6.941,Asia
Eswatini,0.125,0.468,0.522,0.313,6.552,48.3,7.04,Africa
Tajikistan,0.24,0.377,0.945,0.479,1.522,66.6,9.524,Eastern Europe
Togo,0.303,0.701,0.857,0.638,1.354,56.4,4.11,Africa
Trinidad and Tobago,0.76,0.31,0.176,0.838,16.933,70.5,9.364,Latin America
Turkmenistan,0.071,0.774,0.909,0.376,6.201,66.3,NA,Eastern Europe
Somaliland,0.173,0.777,0.647,0.487,NA,NA,NA,Africa
Uzbekistan,0.155,0.685,0.911,0.431,4.341,65.1,10.212,Eastern Europe
Austria,0.86,0.082,0.086,0.928,36.07,78.5,11.24,The West
Bahrain,0.066,0.309,0.863,0.364,24.2,71.7,NA,Middle East
Barbados,0.768,0.202,0.107,0.851,18.83,74.7,9.174,Latin America
Belgium,0.885,0.074,0.025,0.937,35.577,78,10.73,The West
Bosnia and Herzegovina,0.627,0.8,0.711,0.723,6.159,75.5,NA,Eastern Europe
Bulgaria,0.717,0.346,0.219,0.898,9.102,70.2,10.62,Eastern Europe
Comoros,0.227,0.724,0.775,0.421,2.232,61.4,NA,Africa
Croatia,0.77,0.256,0.213,0.922,14.131,74.7,NA,Eastern Europe
